User_ID,Signup_Date,Age,Gender,State,Acquisition_Channel,Device_Type,App_Version,Current_Onboarding_Step,Completed_Onboarding,Days_to_Complete,First_Deposit,First_Transaction,Transaction_Amount,Support_Ticket,Ticket_Category,CSAT
PF00001,2025-06-13,25,Male,Kaduna,Facebook,Android,4.1.0,Active,Yes,5,Yes,Yes,8811,Yes,BVN,5
PF00002,2025-06-04,19,Male,Enugu,Facebook,Android,4.1.0,Verify Email,No,7,No,No,0,No,None,2
PF00003,2025-02-25,39,Male,Abuja,Google,Android,4.2.0,Active,Yes,7,Yes,Yes,33722,No,None,4
PF00004,2025-01-21,53,Female,Kano,Referral,iPhone,4.2.1,Active,Yes,3,No,No,0,No,None,3
PF00005,2025-04-08,35,Female,Kano,Instagram,Android,4.3.0,Active,Yes,6,Yes,Yes,45862,No,None,3
PF00006,2025-02-11,47,Female,Kaduna,Organic,Android,4.3.0,Active,Yes,3,Yes,Yes,61043,No,None,4
PF00007,2025-04-13,35,Male,Oyo,Organic,Android,4.3.0,Active,Yes,6,Yes,No,0,No,None,3
PF00008,2025-03-09,26,Male,Kaduna,TikTok,Android,4.3.0,Active,Yes,2,No,No,0,Yes,Transfer,3
PF00009,2025-01-13,25,Male,Rivers,TikTok,Android,4.1.0,Active,Yes,5,No,No,0,No,None,5
PF00010,2025-01-03,25,Female,Kano,Instagram,Android,4.2.0,Active,Yes,6,Yes,Yes,132225,No,None,5
PF00011,2025-01-28,37,Male,Rivers,Google,Android,4.3.0,Link Bank,No,6,No,No,0,No,None,1
PF00012,2025-04-03,37,Male,Lagos,Facebook,Android,4.1.0,Active,Yes,4,Yes,No,0,No,None,3
PF00013,2025-02-02,48,Male,Kaduna,Google,Android,4.1.0,First Deposit,No,4,No,No,0,No,None,4
PF00014,2025-06-21,41,Female,Ogun,Instagram,Android,4.2.0,Active,Yes,5,Yes,Yes,19610,No,None,3
PF00015,2025-02-28,22,Male,Kano,Instagram,Android,4.3.0,Link Bank,No,3,No,No,0,No,None,4
PF00016,2025-03-04,48,Female,Oyo,Instagram,iPhone,4.2.1,First Deposit,No,1,No,No,0,No,None,1
PF00017,2025-01-16,43,Female,Abuja,Facebook,Android,4.2.0,Active,Yes,2,Yes,Yes,20761,No,None,5
PF00018,2025-01-26,21,Male,Abuja,Organic,iPhone,4.2.1,Verify Email,No,7,No,No,0,No,None,2
PF00019,2025-04-08,18,Female,Kaduna,Organic,iPhone,4.2.1,First Deposit,No,9,No,No,0,No,None,4
PF00020,2025-02-09,30,Female,Oyo,Organic,Android,4.3.0,Active,Yes,3,Yes,Yes,132819,No,None,5
PF00021,2025-02-10,21,Male,Rivers,Instagram,Android,4.1.0,Active,Yes,5,Yes,Yes,22491,No,None,5
PF00022,2025-05-25,51,Female,Kaduna,Facebook,iPhone,4.2.1,Active,Yes,6,Yes,Yes,20016,Yes,Card,5
PF00023,2025-01-26,22,Male,Kaduna,Instagram,Android,4.1.0,Complete KYC,No,5,No,No,0,Yes,Card,3
PF00024,2025-06-06,51,Male,Kaduna,Organic,Android,4.1.0,Active,Yes,1,Yes,Yes,74860,No,None,5
